"actor","target","platform","interaction","timestamp"
"@farhan.traders","@arjun.verma","Instagram","message","2026-09-08T16:04:00.0000000+05:30"
"@arjun.verma","@bridge.operator","WhatsApp","message","2026-09-08T16:05:00.0000000+05:30"
"@nisha.rao","@sanjay.jain","Instagram","message","2026-09-08T16:06:00.0000000+05:30"
"@sanjay.jain","@pooja.mehta","WhatsApp","MENTION","2026-09-08T16:07:00.0000000+05:30"
"@pooja.mehta","@bridge.operator","Instagram","message","2026-09-08T16:08:00.0000000+05:30"
"@farhan.traders","@arjun.verma","WhatsApp","message","2026-09-08T16:09:00.0000000+05:30"
"@arjun.verma","@nisha.rao","Instagram","message","2026-09-08T16:10:00.0000000+05:30"
"@nisha.rao","@bridge.operator","WhatsApp","MENTION","2026-09-08T16:11:00.0000000+05:30"
"@sanjay.jain","@pooja.mehta","Instagram","message","2026-09-08T16:12:00.0000000+05:30"
"@pooja.mehta","@farhan.traders","WhatsApp","message","2026-09-08T16:13:00.0000000+05:30"
"@farhan.traders","@bridge.operator","Instagram","message","2026-09-08T16:14:00.0000000+05:30"
"@arjun.verma","@nisha.rao","WhatsApp","MENTION","2026-09-08T16:15:00.0000000+05:30"
"@nisha.rao","@sanjay.jain","Instagram","message","2026-09-08T16:16:00.0000000+05:30"
"@sanjay.jain","@bridge.operator","WhatsApp","message","2026-09-08T16:17:00.0000000+05:30"
"@pooja.mehta","@farhan.traders","Instagram","message","2026-09-08T16:18:00.0000000+05:30"
"@farhan.traders","@arjun.verma","WhatsApp","MENTION","2026-09-08T16:19:00.0000000+05:30"
"@arjun.verma","@bridge.operator","Instagram","message","2026-09-08T16:20:00.0000000+05:30"
"@nisha.rao","@sanjay.jain","WhatsApp","message","2026-09-08T16:21:00.0000000+05:30"
"@sanjay.jain","@pooja.mehta","Instagram","message","2026-09-08T16:22:00.0000000+05:30"
"@pooja.mehta","@bridge.operator","WhatsApp","MENTION","2026-09-08T16:23:00.0000000+05:30"
"@farhan.traders","@arjun.verma","Instagram","message","2026-09-08T16:24:00.0000000+05:30"
"@arjun.verma","@nisha.rao","WhatsApp","message","2026-09-08T16:25:00.0000000+05:30"
"@nisha.rao","@bridge.operator","Instagram","message","2026-09-08T16:26:00.0000000+05:30"
"@sanjay.jain","@pooja.mehta","WhatsApp","MENTION","2026-09-08T16:27:00.0000000+05:30"
"@pooja.mehta","@farhan.traders","Instagram","message","2026-09-08T16:28:00.0000000+05:30"
"@farhan.traders","@bridge.operator","WhatsApp","message","2026-09-08T16:29:00.0000000+05:30"
"@arjun.verma","@nisha.rao","Instagram","message","2026-09-08T16:30:00.0000000+05:30"
"@nisha.rao","@sanjay.jain","WhatsApp","MENTION","2026-09-08T16:31:00.0000000+05:30"
